RprtDt,StateCd,Questionnaire,Indicator number,Indicator description,Percentage
31-12-2024,NSW,Family/carer of participant 0 to 14,9,% able to advocate for their child/family member,0.80
31-12-2024,NSW,Family/carer of participant 0 to 14,10,% who have friends and family they see as often as they like,0.55
31-12-2024,NSW,Family/carer of participant 0 to 14,11,% who feel very confident or somewhat confident in supporting their child's development,0.88
31-12-2024,NSW,Family/carer of participant 0 to 14,12,"% who rate their health as good, very good or excellent",0.79
31-12-2024,NT,Family/carer of participant 0 to 14,1,% receiving Carer Payment,0.09
31-12-2024,NT,Family/carer of participant 0 to 14,2,% receiving Carer Allowance,0.17
31-12-2024,NT,Family/carer of participant 0 to 14,3,% working in a paid job,0.45
31-12-2024,NT,Family/carer of participant 0 to 14,4,"Of those in a paid job, % in permanent employment",0.83
31-12-2024,NT,Family/carer of participant 0 to 14,5,"Of those in a paid job, % working 15 hours or more",0.89
31-12-2024,NT,Family/carer of participant 0 to 14,6,% who say they (and their partner) are able to work as much as they want,0.64
31-12-2024,NT,Family/carer of participant 0 to 14,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.82
31-12-2024,NT,Family/carer of participant 0 to 14,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.33
31-12-2024,NT,Family/carer of participant 0 to 14,9,% able to advocate for their child/family member,0.65
31-12-2024,NT,Family/carer of participant 0 to 14,10,% who have friends and family they see as often as they like,0.61
31-12-2024,NT,Family/carer of participant 0 to 14,11,% who feel very confident or somewhat confident in supporting their child's development,0.85
31-12-2024,NT,Family/carer of participant 0 to 14,12,"% who rate their health as good, very good or excellent",0.88
31-12-2024,QLD,Family/carer of participant 0 to 14,1,% receiving Carer Payment,0.15
31-12-2024,QLD,Family/carer of participant 0 to 14,2,% receiving Carer Allowance,0.31
31-12-2024,QLD,Family/carer of participant 0 to 14,3,% working in a paid job,0.50
31-12-2024,QLD,Family/carer of participant 0 to 14,4,"Of those in a paid job, % in permanent employment",0.79
31-12-2024,QLD,Family/carer of participant 0 to 14,5,"Of those in a paid job, % working 15 hours or more",0.84
31-12-2024,QLD,Family/carer of participant 0 to 14,6,% who say they (and their partner) are able to work as much as they want,0.51
31-12-2024,QLD,Family/carer of participant 0 to 14,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.87
31-12-2024,QLD,Family/carer of participant 0 to 14,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.33
31-12-2024,QLD,Family/carer of participant 0 to 14,9,% able to advocate for their child/family member,0.80
31-12-2024,QLD,Family/carer of participant 0 to 14,10,% who have friends and family they see as often as they like,0.49
31-12-2024,QLD,Family/carer of participant 0 to 14,11,% who feel very confident or somewhat confident in supporting their child's development,0.88
31-12-2024,QLD,Family/carer of participant 0 to 14,12,"% who rate their health as good, very good or excellent",0.75
31-12-2024,SA,Family/carer of participant 0 to 14,1,% receiving Carer Payment,0.12
31-12-2024,SA,Family/carer of participant 0 to 14,2,% receiving Carer Allowance,0.30
31-12-2024,SA,Family/carer of participant 0 to 14,3,% working in a paid job,0.52
31-12-2024,SA,Family/carer of participant 0 to 14,4,"Of those in a paid job, % in permanent employment",0.78
31-12-2024,SA,Family/carer of participant 0 to 14,5,"Of those in a paid job, % working 15 hours or more",0.82
31-12-2024,SA,Family/carer of participant 0 to 14,6,% who say they (and their partner) are able to work as much as they want,0.51
31-12-2024,SA,Family/carer of participant 0 to 14,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.87
31-12-2024,SA,Family/carer of participant 0 to 14,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.25
31-12-2024,SA,Family/carer of participant 0 to 14,9,% able to advocate for their child/family member,0.79
31-12-2024,SA,Family/carer of participant 0 to 14,10,% who have friends and family they see as often as they like,0.54
31-12-2024,SA,Family/carer of participant 0 to 14,11,% who feel very confident or somewhat confident in supporting their child's development,0.88
31-12-2024,SA,Family/carer of participant 0 to 14,12,"% who rate their health as good, very good or excellent",0.74
31-12-2024,TAS,Family/carer of participant 0 to 14,1,% receiving Carer Payment,0.22
31-12-2024,TAS,Family/carer of participant 0 to 14,2,% receiving Carer Allowance,0.39
31-12-2024,TAS,Family/carer of participant 0 to 14,3,% working in a paid job,0.44
31-12-2024,TAS,Family/carer of participant 0 to 14,4,"Of those in a paid job, % in permanent employment",0.77
31-12-2024,TAS,Family/carer of participant 0 to 14,5,"Of those in a paid job, % working 15 hours or more",0.76
31-12-2024,TAS,Family/carer of participant 0 to 14,6,% who say they (and their partner) are able to work as much as they want,0.47
31-12-2024,TAS,Family/carer of participant 0 to 14,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.88
31-12-2024,TAS,Family/carer of participant 0 to 14,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.34
31-12-2024,TAS,Family/carer of participant 0 to 14,9,% able to advocate for their child/family member,0.80
31-12-2024,TAS,Family/carer of participant 0 to 14,10,% who have friends and family they see as often as they like,0.51
31-12-2024,TAS,Family/carer of participant 0 to 14,11,% who feel very confident or somewhat confident in supporting their child's development,0.89
31-12-2024,TAS,Family/carer of participant 0 to 14,12,"% who rate their health as good, very good or excellent",0.75
31-12-2024,VIC,Family/carer of participant 0 to 14,1,% receiving Carer Payment,0.12
31-12-2024,VIC,Family/carer of participant 0 to 14,2,% receiving Carer Allowance,0.26
31-12-2024,VIC,Family/carer of participant 0 to 14,3,% working in a paid job,0.52
31-12-2024,VIC,Family/carer of participant 0 to 14,4,"Of those in a paid job, % in permanent employment",0.82
31-12-2024,VIC,Family/carer of participant 0 to 14,5,"Of those in a paid job, % working 15 hours or more",0.82
31-12-2024,VIC,Family/carer of participant 0 to 14,6,% who say they (and their partner) are able to work as much as they want,0.47
31-12-2024,VIC,Family/carer of participant 0 to 14,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.87
31-12-2024,VIC,Family/carer of participant 0 to 14,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.27
31-12-2024,VIC,Family/carer of participant 0 to 14,9,% able to advocate for their child/family member,0.75
31-12-2024,VIC,Family/carer of participant 0 to 14,10,% who have friends and family they see as often as they like,0.48
31-12-2024,VIC,Family/carer of participant 0 to 14,11,% who feel very confident or somewhat confident in supporting their child's development,0.85
31-12-2024,VIC,Family/carer of participant 0 to 14,12,"% who rate their health as good, very good or excellent",0.76
31-12-2024,WA,Family/carer of participant 0 to 14,1,% receiving Carer Payment,0.11
31-12-2024,WA,Family/carer of participant 0 to 14,2,% receiving Carer Allowance,0.26
31-12-2024,WA,Family/carer of participant 0 to 14,3,% working in a paid job,0.51
31-12-2024,WA,Family/carer of participant 0 to 14,4,"Of those in a paid job, % in permanent employment",0.79
31-12-2024,WA,Family/carer of participant 0 to 14,5,"Of those in a paid job, % working 15 hours or more",0.81
31-12-2024,WA,Family/carer of participant 0 to 14,6,% who say they (and their partner) are able to work as much as they want,0.48
31-12-2024,WA,Family/carer of participant 0 to 14,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.89
31-12-2024,WA,Family/carer of participant 0 to 14,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.26
31-12-2024,WA,Family/carer of participant 0 to 14,9,% able to advocate for their child/family member,0.74
31-12-2024,WA,Family/carer of participant 0 to 14,10,% who have friends and family they see as often as they like,0.46
31-12-2024,WA,Family/carer of participant 0 to 14,11,% who feel very confident or somewhat confident in supporting their child's development,0.85
31-12-2024,WA,Family/carer of participant 0 to 14,12,"% who rate their health as good, very good or excellent",0.78
31-12-2024,ACT,Family/carer of participant 15 and over,1,% receiving Carer Payment,0.08
31-12-2024,ACT,Family/carer of participant 15 and over,2,% receiving Carer Allowance,0.18
31-12-2024,ACT,Family/carer of participant 15 and over,3,% working in a paid job,0.60
31-12-2024,ACT,Family/carer of participant 15 and over,4,"Of those in a paid job, % in permanent employment",0.87
31-12-2024,ACT,Family/carer of participant 15 and over,5,"Of those in a paid job, % working 15 hours or more",0.93
31-12-2024,ACT,Family/carer of participant 15 and over,6,% who say they (and their partner) are able to work as much as they want,0.58
31-12-2024,ACT,Family/carer of participant 15 and over,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.91
31-12-2024,ACT,Family/carer of participant 15 and over,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.15
31-12-2024,ACT,Family/carer of participant 15 and over,9,% able to advocate for their child/family member,0.68
31-12-2024,ACT,Family/carer of participant 15 and over,10,% who have friends and family they see as often as they like,0.52
31-12-2024,ACT,Family/carer of participant 15 and over,11,% who feel in control selecting services,0.37
31-12-2024,ACT,Family/carer of participant 15 and over,12,"% who rate their health as good, very good or excellent",0.64
31-12-2024,ALL,Family/carer of participant 15 and over,1,% receiving Carer Payment,0.20
31-12-2024,ALL,Family/carer of participant 15 and over,2,% receiving Carer Allowance,0.32
31-12-2024,ALL,Family/carer of participant 15 and over,3,% working in a paid job,0.48
31-12-2024,ALL,Family/carer of participant 15 and over,4,"Of those in a paid job, % in permanent employment",0.79
31-12-2024,ALL,Family/carer of participant 15 and over,5,"Of those in a paid job, % working 15 hours or more",0.86
31-12-2024,ALL,Family/carer of participant 15 and over,6,% who say they (and their partner) are able to work as much as they want,0.52
31-12-2024,ALL,Family/carer of participant 15 and over,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.89
31-12-2024,ALL,Family/carer of participant 15 and over,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.21
31-12-2024,ALL,Family/carer of participant 15 and over,9,% able to advocate for their child/family member,0.66
31-12-2024,ALL,Family/carer of participant 15 and over,10,% who have friends and family they see as often as they like,0.47
31-12-2024,ALL,Family/carer of participant 15 and over,11,% who feel in control selecting services,0.38
31-12-2024,ALL,Family/carer of participant 15 and over,12,"% who rate their health as good, very good or excellent",0.62
31-12-2024,NSW,Family/carer of participant 15 and over,1,% receiving Carer Payment,0.19
31-12-2024,NSW,Family/carer of participant 15 and over,2,% receiving Carer Allowance,0.30
31-12-2024,NSW,Family/carer of participant 15 and over,3,% working in a paid job,0.49
31-12-2024,NSW,Family/carer of participant 15 and over,4,"Of those in a paid job, % in permanent employment",0.79
31-12-2024,NSW,Family/carer of participant 15 and over,5,"Of those in a paid job, % working 15 hours or more",0.87
31-12-2024,NSW,Family/carer of participant 15 and over,6,% who say they (and their partner) are able to work as much as they want,0.52
31-12-2024,NSW,Family/carer of participant 15 and over,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.89
31-12-2024,NSW,Family/carer of participant 15 and over,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.23
31-12-2024,NSW,Family/carer of participant 15 and over,9,% able to advocate for their child/family member,0.65
31-12-2024,NSW,Family/carer of participant 15 and over,10,% who have friends and family they see as often as they like,0.48
31-12-2024,NSW,Family/carer of participant 15 and over,11,% who feel in control selecting services,0.35
31-12-2024,NSW,Family/carer of participant 15 and over,12,"% who rate their health as good, very good or excellent",0.62
31-12-2024,NT,Family/carer of participant 15 and over,1,% receiving Carer Payment,0.12
31-12-2024,NT,Family/carer of participant 15 and over,2,% receiving Carer Allowance,0.15
31-12-2024,NT,Family/carer of participant 15 and over,3,% working in a paid job,0.45
31-12-2024,NT,Family/carer of participant 15 and over,4,"Of those in a paid job, % in permanent employment",0.84
31-12-2024,NT,Family/carer of participant 15 and over,5,"Of those in a paid job, % working 15 hours or more",0.92
31-12-2024,NT,Family/carer of participant 15 and over,6,% who say they (and their partner) are able to work as much as they want,0.54
31-12-2024,NT,Family/carer of participant 15 and over,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.80
31-12-2024,NT,Family/carer of participant 15 and over,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.30
31-12-2024,NT,Family/carer of participant 15 and over,9,% able to advocate for their child/family member,0.47
31-12-2024,NT,Family/carer of participant 15 and over,10,% who have friends and family they see as often as they like,0.57
31-12-2024,NT,Family/carer of participant 15 and over,11,% who feel in control selecting services,0.25
31-12-2024,NT,Family/carer of participant 15 and over,12,"% who rate their health as good, very good or excellent",0.73
31-12-2024,QLD,Family/carer of participant 15 and over,1,% receiving Carer Payment,0.23
31-12-2024,QLD,Family/carer of participant 15 and over,2,% receiving Carer Allowance,0.36
31-12-2024,QLD,Family/carer of participant 15 and over,3,% working in a paid job,0.47
31-12-2024,QLD,Family/carer of participant 15 and over,4,"Of those in a paid job, % in permanent employment",0.77
31-12-2024,QLD,Family/carer of participant 15 and over,5,"Of those in a paid job, % working 15 hours or more",0.86
31-12-2024,QLD,Family/carer of participant 15 and over,6,% who say they (and their partner) are able to work as much as they want,0.53
31-12-2024,QLD,Family/carer of participant 15 and over,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.90
31-12-2024,QLD,Family/carer of participant 15 and over,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.21
31-12-2024,QLD,Family/carer of participant 15 and over,9,% able to advocate for their child/family member,0.71
31-12-2024,QLD,Family/carer of participant 15 and over,10,% who have friends and family they see as often as they like,0.44
31-12-2024,QLD,Family/carer of participant 15 and over,11,% who feel in control selecting services,0.41
31-12-2024,QLD,Family/carer of participant 15 and over,12,"% who rate their health as good, very good or excellent",0.59
31-12-2024,SA,Family/carer of participant 15 and over,1,% receiving Carer Payment,0.21
31-12-2024,SA,Family/carer of participant 15 and over,2,% receiving Carer Allowance,0.34
31-12-2024,SA,Family/carer of participant 15 and over,3,% working in a paid job,0.45
31-12-2024,SA,Family/carer of participant 15 and over,4,"Of those in a paid job, % in permanent employment",0.77
31-12-2024,SA,Family/carer of participant 15 and over,5,"Of those in a paid job, % working 15 hours or more",0.87
31-12-2024,SA,Family/carer of participant 15 and over,6,% who say they (and their partner) are able to work as much as they want,0.58
31-12-2024,SA,Family/carer of participant 15 and over,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.87
31-12-2024,SA,Family/carer of participant 15 and over,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.19
31-12-2024,SA,Family/carer of participant 15 and over,9,% able to advocate for their child/family member,0.72
31-12-2024,SA,Family/carer of participant 15 and over,10,% who have friends and family they see as often as they like,0.55
31-12-2024,SA,Family/carer of participant 15 and over,11,% who feel in control selecting services,0.42
31-12-2024,SA,Family/carer of participant 15 and over,12,"% who rate their health as good, very good or excellent",0.62
31-12-2024,TAS,Family/carer of participant 15 and over,1,% receiving Carer Payment,0.24
31-12-2024,TAS,Family/carer of participant 15 and over,2,% receiving Carer Allowance,0.35
31-12-2024,TAS,Family/carer of participant 15 and over,3,% working in a paid job,0.41
31-12-2024,TAS,Family/carer of participant 15 and over,4,"Of those in a paid job, % in permanent employment",0.77
31-12-2024,TAS,Family/carer of participant 15 and over,5,"Of those in a paid job, % working 15 hours or more",0.84
31-12-2024,TAS,Family/carer of participant 15 and over,6,% who say they (and their partner) are able to work as much as they want,0.55
31-12-2024,TAS,Family/carer of participant 15 and over,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.87
31-12-2024,TAS,Family/carer of participant 15 and over,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.21
31-12-2024,TAS,Family/carer of participant 15 and over,9,% able to advocate for their child/family member,0.71
31-12-2024,TAS,Family/carer of participant 15 and over,10,% who have friends and family they see as often as they like,0.53
31-12-2024,TAS,Family/carer of participant 15 and over,11,% who feel in control selecting services,0.39
31-12-2024,TAS,Family/carer of participant 15 and over,12,"% who rate their health as good, very good or excellent",0.65
31-12-2024,VIC,Family/carer of participant 15 and over,1,% receiving Carer Payment,0.21
31-12-2024,VIC,Family/carer of participant 15 and over,2,% receiving Carer Allowance,0.33
31-12-2024,VIC,Family/carer of participant 15 and over,3,% working in a paid job,0.48
31-12-2024,VIC,Family/carer of participant 15 and over,4,"Of those in a paid job, % in permanent employment",0.80
31-12-2024,VIC,Family/carer of participant 15 and over,5,"Of those in a paid job, % working 15 hours or more",0.85
31-12-2024,VIC,Family/carer of participant 15 and over,6,% who say they (and their partner) are able to work as much as they want,0.48
31-12-2024,VIC,Family/carer of participant 15 and over,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.91
31-12-2024,VIC,Family/carer of participant 15 and over,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.21
31-12-2024,VIC,Family/carer of participant 15 and over,9,% able to advocate for their child/family member,0.60
31-12-2024,VIC,Family/carer of participant 15 and over,10,% who have friends and family they see as often as they like,0.43
31-12-2024,VIC,Family/carer of participant 15 and over,11,% who feel in control selecting services,0.33
31-12-2024,VIC,Family/carer of participant 15 and over,12,"% who rate their health as good, very good or excellent",0.61
31-12-2024,WA,Family/carer of participant 15 and over,1,% receiving Carer Payment,0.16
31-12-2024,WA,Family/carer of participant 15 and over,2,% receiving Carer Allowance,0.29
31-12-2024,WA,Family/carer of participant 15 and over,3,% working in a paid job,0.50
31-12-2024,WA,Family/carer of participant 15 and over,4,"Of those in a paid job, % in permanent employment",0.81
31-12-2024,WA,Family/carer of participant 15 and over,5,"Of those in a paid job, % working 15 hours or more",0.86
31-12-2024,WA,Family/carer of participant 15 and over,6,% who say they (and their partner) are able to work as much as they want,0.57
31-12-2024,WA,Family/carer of participant 15 and over,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.89
31-12-2024,WA,Family/carer of participant 15 and over,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.17
31-12-2024,WA,Family/carer of participant 15 and over,9,% able to advocate for their child/family member,0.69
31-12-2024,WA,Family/carer of participant 15 and over,10,% who have friends and family they see as often as they like,0.51
31-12-2024,WA,Family/carer of participant 15 and over,11,% who feel in control selecting services,0.47
31-12-2024,WA,Family/carer of participant 15 and over,12,"% who rate their health as good, very good or excellent",0.66
